did,rkey,time_us,time_iso,langs,text
did:plc:dupirzvlby7azzkrbke3qtmm,3lsbxnazr5k2k,1750694811766837,2025-06-23T16:06:51.766837+00:00,en,"Just when scientists are urging us to shift to more plant-based diets to address the climate, biodiversity, pollution and health crises (see for instance www.youtube.com/watch?v=MjnO... )"
did:plc:owiszmox3m4hqv3pdkpqvyy6,3lsbxtrvmws2v,1750695032270480,2025-06-23T16:10:32.270480+00:00,en,A few weeks ago I had my mind blown by a vegan restaurant in DC. Planta Queen.
did:plc:dn4pawauq3fn2ghnvscr66sg,3lsbxueiabs2b,1750695055974507,2025-06-23T16:10:55.974507+00:00,en,#vegan #veganism #vegans #animalliberation #animalrights #bevegan #govegan #livevegan #fortheanimals #veganforanimals #vegansofig #veganshare #vegantruth #vegansofinstagram #veganfoodshare #veganfood #veganfoodie
did:plc:scra22o3xeq635yffxinc2vu,3lsbypx72ps2e,1750695978951725,2025-06-23T16:26:18.951725+00:00,en,"do i know anyone whos tried these? are they good? im jsut desperate for cheese puff that dont suck and so many have the dye that jsut fucking kills me. this one does not, but are vegan and sometimes vegan cheese is weird"
did:plc:cuhhmfy3zrzlhf5vmmq3meb6,3lsbyrvfrts2i,1750696053983462,2025-06-23T16:27:33.983462+00:00,en,"This was my dinner yesterday, btw. Vegan pork, mash and cabbage."
did:plc:ekyzxst3cc4qbpy57guhy65g,3lsbz2fdto22k,1750696328065403,2025-06-23T16:32:08.065403+00:00,en,So the Jax is an NPC theory seems like it’s pretty likely right? That’s why Caine could make him vegan even though he “thought Caine couldn’t…”
did:plc:2dl5bomavcisbdvzvmpqnibz,3lsbz6unfx22f,1750696476160707,2025-06-23T16:34:36.160707+00:00,en,"Fucking Moron, you are the one who Bombed the middle East.  You want the Nobel Peace Prize, giving you that would be like awarding Jeffrey Dahmer The VEGAN of the Century you Fat POS @realDonaldTrump"
did:plc:qevftqzrt4kssd55rrgllraf,3lsbzcusn7c2t,1750696617279733,2025-06-23T16:36:57.279733+00:00,en,Pigoneer  Pig Of The Day Zippy!   Ziggy is another member of the exclusive Little Boys group🐷  He likes nothing more than hanging out & playing with his pals Rio & Sprout. Join the Pigoneers to help support Zippy & the other 98 rescue pigs @BTWsanctuary globalvegancrowdfunder.org/pigoneer-200...
did:plc:ftuvfxhcdlirqeltgkd53gr6,3lsbzhyxg322q,1750696790428864,2025-06-23T16:39:50.428864+00:00,en,"Hydration product rec for heatwave peeps - these chewables. You should be drinking water with them but no mixing, very little sugar, vegan, gluten-free, easy to carry if your salts are off from sweating. I’m not affiliated with them, it’s just what I use and cheaper/easier than Gatorade etc."
did:plc:pay452shtwvfa2ihrsv7b2g6,3lsbzvnu7ss24,1750697245609739,2025-06-23T16:47:25.609739+00:00,en,www.threads.com/@vegan.f.t.a...
did:plc:dbcke6i35yc4b4whvqqsgcom,3lsc2c4ma4s2d,1750697660881616,2025-06-23T16:54:20.881616+00:00,en,"Having lunch with a friend from out of town. They're vegan, I'm decidedly not.   Suggestions for area around the MOA?"
did:plc:7s4dcvrsvqe4owz65xjjbias,3lsc2dbvug22r,1750697700158254,2025-06-23T16:55:00.158254+00:00,en,"TIL that veganism doesn’t actually mean zero animal byproduct, it’s about reducing harm to animals. so you can in fact be vegan and consume animal byproduct, it just has to be more ethical than the alternative. cool stuff."
did:plc:7vs7fbkam6azcbffwietmmgx,3lsc2i5ohas2c,1750697865649244,2025-06-23T16:57:45.649244+00:00,en,Little Simz announces North American tour www.brooklynvegan.com/little-simz-...
did:plc:f3w3jqso2iomtxk2cethm4kl,3lsc2odmrik26,1750698075374909,2025-06-23T17:01:15.374909+00:00,en,JAX IS A VEGAN FOR THE REST OF THE EPISODE #TADC
did:plc:l4wiwqiz4elah33axvhobmrq,3lsc2or7eps24,1750698085288120,2025-06-23T17:01:25.288120+00:00,en,coffee & cold pizza for breakfast  (vegan Bombay chicken garlic pizza but nonetheless)
did:plc:ogmhtnslv4gtwuas4zyds7up,3lsc2qypy3223,1750698160675970,2025-06-23T17:02:40.675970+00:00,en,"Sometimes when I ask for vegan options at a food place, I get told, ""No, but this thing is gluten free!"""
did:plc:xpdbc4ra6kwbv7srxklv6vqu,3lsc2vjjuas2j,1750698312452402,2025-06-23T17:05:12.452402+00:00,en,aww YEAH i have some star crackers that i’ve been saving for a rainy day and i am eat now yum  made good cheddar stars  vegan  gf  salty  has veggies in it   and doesn’t flare my MCAS! and i love the tiny cronch of the stars  also i like stars hehe ⭐️ in case ya didn’t know 💫
did:plc:72tdaz4noufxmmjwcvbkbgz3,3lsc2zxu2ms2w,1750698463283088,2025-06-23T17:07:43.283088+00:00,en,Upgrading my fbsm offering with very nice new vegan CBD muscle rub! Locally made in Portland by a woman-owned and operated company 🙌
did:plc:u4ogtqsfhxxkwn5hprs26rfm,3lsc3jtn6ck2k,1750698997781600,2025-06-23T17:16:37.781600+00:00,en,"Going vegan can save the planet, and this is why Big Food wants you to stay ignorant... littitude.com/veganism-env..."
did:plc:hupk34hb5u5e4ylp4e673gbq,3lsc3pjhukc2q,1750699184838586,2025-06-23T17:19:44.838586+00:00,en,happy birthday @radiatorcomics.bsky.social ! I hope you get some nice ocean breezes while eating vegan ice cream and drawing fun comics. 🐋
did:plc:bwoedyy3gr5k3gifwgvn433n,3lsc3qgjsec2v,1750699219847935,2025-06-23T17:20:19.847935+00:00,en,Getting really tired of da vegan tart's bullshit.
did:plc:4y4g2quyq7talhndvplq7a5n,3lsc3uczqos23,1750699345463913,2025-06-23T17:22:25.463913+00:00,en,"I want to design my bedroom like a Buck Mason’s store. So that means getting a (Lego) Porsche, a Noguchi style lamp, and a black (vegan) leather chair, and other bits and bobs.   Once I get a new bed and a small desk setup I’ll do the above for my little nook."
did:plc:2hvu34gorzannusfvtuqpjwz,3lsc44pjqzk2g,1750699628363002,2025-06-23T17:27:08.363002+00:00,en,I see some leftists who are so articulate and clued up on current issues and are able to recite theory and factor in all the nuances of overlapping social and historical contexts but then are unironically at this level when it comes to animal rights:
did:plc:35brb6ey5w6pfoozc2c3xg7m,3lsc4ggbtxk2m,1750699966960225,2025-06-23T17:32:46.960225+00:00,en,"This is a great product for kid's school lunch boxes:  Abe's   Gluten-Free, always #vegan, and fortified with important vegan vitamins - tasty too!   #LunchBoxes #children #VeganChildren"
did:plc:wlaockadnrw3orei4yvlphxf,3lsc4gxi5dk2l,1750699978142609,2025-06-23T17:32:58.142609+00:00,en,"#Vegan braised cauliflower & white bean piccatta and sautéed arugula & Portobellos topped with Parm shreds. Served with barley and buttered baguette slices. Both recipes new to me, both really good & very quick to make. Recipes in ALT. #veganfood 🌱🍽️🍜"
did:plc:zzbbdubvt22juf643tk525zm,3lsc4k6ixyas2,1750700119350608,2025-06-23T17:35:19.350608+00:00,en,"Quite an interesting read 🌱🙂  👉The most‑googled vegan recipes in 2025, ranked by country https://vegoutmag.com/food-and-drink/nat-the-most%E2%80%91googled-vegan-recipes-in-2025-ranked-by-country/  #VeganFood #GoVegan #WorldwideVeganNomz #OhneMampfKeinKampf"
did:plc:7vs7fbkam6azcbffwietmmgx,3lsc4oiafhs2d,1750700227079316,2025-06-23T17:37:07.079316+00:00,en,"Hot Mulligan announce tour with Drug Church, Arm's Length & Anxious www.brooklynvegan.com/hot-mulligan..."
did:plc:yqex7jdgctdvvpdkiytz3tra,3lsc4uejzrs24,1750700440756568,2025-06-23T17:40:40.756568+00:00,en,"Endearing and sweet-faced 🐬 Irrawaddy #Dolphins 🐬 face serious threats from #palmoil #pollution, fishing bycatch, tourism in S.E #Asia. Just 90-300 remain alive in the wild. Fight for them and be #vegan, #BoycottPalmOil #Boycott4Wildlife 💙 @palmoildetect.bsky.social wp.me/pcFhgU-8Pk"
did:plc:35brb6ey5w6pfoozc2c3xg7m,3lsc4ww3nls2m,1750700512163253,2025-06-23T17:41:52.163253+00:00,en,"Tofurky deli slices are tasty, & can be found in most grocery stores & Walmart (best price).   Ingredients: Water, Vital Wheat Gluten, Organic Tofu, Expeller Pressed Canola Oil, Vegan Natural Flavors, Sea Salt, seasonings. Even dogs & cats love them!   #PlantBased #vegan #VeganFood #VeganMeat"
did:plc:py35zr6d4fakdwjzgiccd6a7,3lsc4yhg2q362,1750700584651394,2025-06-23T17:43:04.651394+00:00,en,"For years I've been making a quadruple batch of vegan flapjacks every weekend during the school year (barring a few on-call weekends when I can't pull this off). The kids eat 12-15 of them fresh off the griddle, and the other 30-36 get frozen, to be toasted for breakfast on weekdays, served with […]"
did:plc:pixxwzmubkn4yuahqd5giuqa,3lsc52gy3as2g,1750700624871734,2025-06-23T17:43:44.871734+00:00,en,i should become a vegan antinatalist
did:plc:2kg6vqxr4pgjxryuvpdimb34,3lsc55xqb622b,1750700742998686,2025-06-23T17:45:42.998686+00:00,en,I'm not a vegan but I need this in my mouth really really bad
did:plc:2f2gr44l5si7e73l4xbrrf2i,3lsc5be7vws2b,1750700851993165,2025-06-23T17:47:31.993165+00:00,en,Vegan to the bone
did:plc:gsxfqiyly6evc7z7byvhrxxu,3lsc5bvxaac26,1750700878057251,2025-06-23T17:47:58.057251+00:00,en,"Just wrapped an epic 15-day adventure through Singapore, Vietnam, Thailand, and India 🌏✨ From rooftop views and designer finds to elephants, temples, and spicy vegan eats—this trip had it all! 🐘🌿🕌 Check out our full travel guide packed with tips, recs, and must-see stops.  #SoutheastAsiaTravel"
did:plc:tsaoj4arfbb5jdz36dhvpu7b,3lsc5e5bv5s2q,1750700950255011,2025-06-23T17:49:10.255011+00:00,en,Greek restaurant: didn’t know what a vegan was  Greek supermarket: dental floss clearly labelled vegan  👍
did:plc:kurv453gxcyno5dumpbz326y,3lsc5jhqpts2p,1750701129563654,2025-06-23T17:52:09.563654+00:00,en,"🍃 greentearestaurantsb.com is available! A fresh, eco-conscious domain perfect for a tea shop, plant-based café, or health-focused eatery in Santa Barbara.  🔗 Grab it now: www.godaddy.com/en-uk/domainsearch/find?domainToCheck=greentearestaurantsb.com  #GreenTeaLovers #SantaBarbaraEats #HealthyLiving"
did:plc:bubjycrsmrjlqx2l7n3frpbq,3lsc5kxpzq22x,1750701206328275,2025-06-23T17:53:26.328275+00:00,en,"New #Vegan opening in #Shoreditch! The Plantiful Caesar Salad from Plant Shack: mixed green salad with homemade tempeh bacon, tofu chickn, homemade cashew parmesan & caesar dressing, tomato, microgreens, pumpkin & hemp seeds; with a Cheeze and Pesto bun (from okja!) #plantbased #vegansky #veganfood"
did:plc:oupdnnmnuaiuhiy7wkoqbkw4,3lsc5n3zyvk2y,1750701250951684,2025-06-23T17:54:10.951684+00:00,en,The things vegan chocolate can remedy are many in number.
did:plc:46b43hp2axhcnzqghk2nmf5z,3lsc5plu7bk2a,1750701337463322,2025-06-23T17:55:37.463322+00:00,en,This looks really good! Great for #MeatlessMonday 🙌🤤😋 #KatsVeganGrub #HealthyChoices #Yummy #VeganFood   www.vegkitchen.com/vegan-pho-bo...
did:plc:gd4bs64l4hfy7wyf6otriieh,3lsc5sswec22q,1750701450166308,2025-06-23T17:57:30.166308+00:00,en,"horrowfide's stereotypically beige dinner. 🇬🇧 We've got pretend #vegan fish, a chip butty, and onion rings. #Vittles"
did:plc:yweo4cnpvkzygurvypne7eqg,3lsc5te2chs2g,1750701461117329,2025-06-23T17:57:41.117329+00:00,en,@plsdoitbetter.bsky.social: You had me at Vegan! Followed you back! 😃💚💯👋🏽👍🏽🙌🏽
did:plc:vss6ltfjiooy57zbzl5wxj5u,3lsc5xsz4ys2x,1750701610554821,2025-06-23T18:00:10.554821+00:00,en,"Especially if he's a cannibal!  They have amazing cooking skills!  Just be careful if you're vegan, or, well... Not fond of eating people like him."
did:plc:dazpm5logm7yn35vrvz6fflx,3lsc5xwgxbn22,1750701613652749,2025-06-23T18:00:13.652749+00:00,en,Vegan dog parent? Share your day!   What’s your pup’s fav plant-based snack?   #plantbased
did:plc:46b43hp2axhcnzqghk2nmf5z,3lsc5ytbm2s2i,1750701647581949,2025-06-23T18:00:47.581949+00:00,en,Another great #recipe for #MeatlessMonday this looks FANTASTIC! 🙌🤤😋😲 #VeganBacon #KatsVeganGrub #HealthyChoices #yummy #VeganFood #VeganFoodie   healthyhappylife.com/spicy-vegan-...
did:plc:qgagoyfmnqm3wwrnizu2ypll,3lsc62bd4fs2p,1750701702061398,2025-06-23T18:01:42.061398+00:00,en,📲 Click the link in my bio & start your Vegan Challenge today. Your body will thank you.  #weightloss #gym #relationships #motivation #inspiration #discipline #healing #weightlossjourney #selflove #fit #transformation #fitness #healthy #workout #diet
did:plc:qgagoyfmnqm3wwrnizu2ypll,3lsc62korbk2v,1750701712982553,2025-06-23T18:01:52.982553+00:00,en,📲 Click the link in my bio & start your Vegan Challenge today. Your body will thank you.  #weightloss #gym #relationships #motivation #inspiration #discipline #healing #weightlossjourney #selflove #fit #transformation #fitness #healthy #workout #diet
did:plc:qgagoyfmnqm3wwrnizu2ypll,3lsc6323ul22v,1750701730224088,2025-06-23T18:02:10.224088+00:00,en,📲 Click the link in my bio & start your Vegan Challenge today. Your body will thank you.  #weightloss #gym #relationships #motivation #inspiration #discipline #healing #weightlossjourney #selflove #fit #transformation #fitness #healthy #workout #diet
did:plc:rd4nlvsfwrhmm6ydoizxd3rx,3lsc64zgk3k2c,1750701785905622,2025-06-23T18:03:05.905622+00:00,en,going sicko mode*  *heating up gluten free vegan no tomato sauce pizza leftovers
did:plc:46b43hp2axhcnzqghk2nmf5z,3lsc65ikt5s23,1750701807274423,2025-06-23T18:03:27.274423+00:00,en,More ideas for #MeatlessMonday creations 🤤😋🙌  #KatsVeganGrub #VeganFoodie #VeganFood #HealthyChoices #Yummy  www.feastingathome.com/vegan-dinner...
did:plc:zs3zp7vxmuf4bztdp5wqc5st,3lsc6hz7fss2a,1750702153251487,2025-06-23T18:09:13.251487+00:00,en,Sign🙏 #China #BanYulin #StopYulinFestival #NoToDogAndCatMeat #AnimalAbuse #AnimalCruelty #stopanimalcruelty #AdoptDontShop #RescueDogs #RescueCats #FriendsNotFood #SaveKoreanDogAndCats #NoToDogMeat #SavePigs #Vegan #BanFur #StopAnimalTests #Dogs #Cats #Puppies #Kittens #Vietnam #Hanoi #BanDogMeat
did:plc:cuhhmfy3zrzlhf5vmmq3meb6,3lsc6m5ievc2y,1750702301784603,2025-06-23T18:11:41.784603+00:00,en,Tonight's dinner!   Vegan BBQ ribs with mash and cabbage. Very nice it was too.   #Caterpillarsky #edbsky
did:plc:x5fzjyxxmppcvhcd3qspuwsr,3lsc6xevzms23,1750702669295176,2025-06-23T18:17:49.295176+00:00,en,@lussoangel.bsky.social @hyapatialee.bsky.social @amicaali.bsky.social @edengk.bsky.social @pukabear.bsky.social @geauxgabrielle.bsky.social @arieshellstormm.bsky.social @hemptressraven.bsky.social @crzyfkinworld.bsky.social @feistyliblady.bsky.social @vegankitty2.bsky.social @ppfa.org @hrw.org
did:plc:wkuic5ke6isjvkrbqkp7hvcn,3lsc7xwzmoc26,1750703765753744,2025-06-23T18:36:05.753744+00:00,en,"Midcoast Vegan is amazing. Just piled their pastrami on homemade kimchi and bread. They were at Western Mass Vegan Food Fest and every sample they had was terrific. If you can catch them at a festival or get an order in before they sell out, don't hesitate. www.mainetastingcenter.com/producers-1/..."
did:plc:uhg4uwclyjkx2y3jduvanaci,3lsc7zsn4pk2w,1750703826051585,2025-06-23T18:37:06.051585+00:00,en,"Follower account getting too high, time to be an Annoying Vegan TM"
did:plc:vyaud2o7mv4yt2557iti24oe,3lsca3jr7v22e,1750703888099636,2025-06-23T18:38:08.099636+00:00,en,"Rocking fresh veggie camo and dropping truth: Wu-Tang legend Masta Killa doesn’t just talk balance, he lives it 👐 Go vegan for your health, the planet, and the animals 🌱  Photographer: Kareem Black Creative Director: Greg Garry"
did:plc:bzzj2stqe7k7lj6m44xhmlji,3lsca3vndx227,1750703892851001,2025-06-23T18:38:12.851001+00:00,en,"Tonight's dinner :  Arroz al horno con pasas y garbanzos (a Valencian meal of baked chickpeas, rice, tomatoes, raisins, sweet paprika and a head of garlic), served with a sprinkling of toasted almonds, and vegan 'meatballs'"
did:plc:bsunng2gkdvuu5f6akheopwr,3lscaapeg422y,1750704056968338,2025-06-23T18:40:56.968338+00:00,en,Sending love and good food to all of your timelines ☺️❤️🌱😋✨️ #vegan #veganfood #homemade #plantbased #plantbasedfood #foodporn #food #whatveganseat #veganfoodshare #veganfortheanimals
did:plc:w5azr544vqinfbpf2hdgdswh,3lscafov7mk2f,1750704223155201,2025-06-23T18:43:43.155201+00:00,en,If you watched this and sided with the chickens go vegan
did:plc:n3whzjghworzlwa6dxn2ea3n,3lscaj2nr522y,1750704337090966,2025-06-23T18:45:37.090966+00:00,en,"Sometimes being literate sucks, for instance, reading someone say something like ""vegans tend not to support throwing babies into a woodchipper"" and 1 million morons will go ""can't believe it's vegans spearheading the throwing babies into woodchippers campaign 🙄🙄🙄"""
did:plc:og6rvd2lqfyi6mvy3h3cmgfo,3lscalpgwgc23,1750704429278339,2025-06-23T18:47:09.278339+00:00,en,Had another huge #asparagus harvest from my #veggiegarden so I shared it with my lucky neighbor. I also gave her a head of romaine lettuce before the heat in the #berkshires could cause it to bolt.   #eatseasonal #eatlocal #eatmoreplants #eatmoreveggies  #growyourown #gardening #homegrown #vegan
did:plc:yk7xcmwaxnyeex44ibg4d2e3,3lscavzzg5c2b,1750704774684620,2025-06-23T18:52:54.684620+00:00,en,Have you seen the Viva MK Beauty Range? All your must have for daily skin routine 🤩   👉 Vegan Friendly  👉 achieve healthy skin  👉 in result of soft skin  👉 achieve youthful skin  👉 reduce fine lines   So many benefits of these products  bethsshop.vivamknetwork.co.uk
did:plc:7grbz4ae3nbjzonkzbfegtxs,3lscawhsmck2h,1750704786569237,2025-06-23T18:53:06.569237+00:00,en,when your new vegan recipe is way better than expected
did:plc:fvusw5ic4wg3jido5bpfyaue,3lscaynqcqs2z,1750704863358565,2025-06-23T18:54:23.358565+00:00,en,"Imagine starting the school year with a team behind you, a plan to make change, and a whole lot of vegan snacks. 🌱✊  Don't miss out! Applications are OPEN! 🗓️ Application Deadline: July 15 ⏳ Program: Aug 2025 – May 2026 Apply here: shamayim.us/shamayim-cam..."
did:plc:dwe4ceyu7ybt6tcekzfsvxxp,3lscb36l7ys2e,1750704946451892,2025-06-23T18:55:46.451892+00:00,en,What’s in it for me if I go Vegan ? open.substack.com/pub/chefalex...
did:plc:esfsp5unault5ek6zolpkpe5,3lscbcjetkc26,1750705190749804,2025-06-23T18:59:50.749804+00:00,en,"First time made lasagna at home :”) bf made vegan minced meat, I did the rest. Not nonna level, but not bad either"
did:plc:owxnld5smzghbtp56xe4pnht,3lscbg47hgs2j,1750705315872682,2025-06-23T19:01:55.872682+00:00,en,Easier than hummus! alessandra-veganblog.blogspot.com/2025/06/edam...  #plantbased #vegan #glutenfreevegan #beans @plantbasednews.bsky.social @plantbasedtimes.bsky.social @nomeatmay.bsky.social @plantbasedfuture.bsky.social @peteregan46.bsky.social @vegsoc.bsky.social @vegansociety.bsky.social
did:plc:uf7lxtckmkw47mh5etgpbvwj,3lscbl4mahk2p,1750705480489185,2025-06-23T19:04:40.489185+00:00,en,New Investment to Strengthen Canada’s Specialty Soybean Market and Boost Plant-Based Innovation - GlobeNewswire www.globenewswire.com/news-release... via @GoogleNews
did:plc:yxhs7wahsbwwcyiinenkmzqd,3lscbnpsfw22z,1750705569160976,2025-06-23T19:06:09.160976+00:00,en,"It’s one of those quiet tragedies that often go unseen. The more we know, the more gently we can move forward. Change is possible—with awareness, we can create a food system rooted in compassion for all beings. 💚🌱 #vegan #veganism #vegans #animalrights #animalwelfare"
did:plc:2kg6vqxr4pgjxryuvpdimb34,3lsccqrijak2y,1750706742570179,2025-06-23T19:25:42.570179+00:00,en,I angered a vegan warrior by sharing a post that wasn't even his saying how good it looked even though I'm not a vegan  clearly I am a sociopath who needs to be removed from society for everyone's safety
did:plc:swe3iqgsp3r6f5sbznjfdc5r,3lscctsoyfk2f,1750706845973968,2025-06-23T19:27:25.973968+00:00,en,"The height of water dispensers on #chicken farms is raised as the birds grow. 🐔  Many are injured or don't grow fast enough to reach the water, leading to dehydration and an agonising death. 💔😓  If this upsets you, go #vegan."
did:plc:6hkr3ivkbqplmhkzrbvk44bq,3lsccyfexgk2r,1750706998175126,2025-06-23T19:29:58.175126+00:00,en,"A bunch of new followers. Not sure what starter pack it may have been but welcome. You will get posts about local vegan food, the Lynx, Wolves, MNUFC, City and Aurora. You will also get MSP real estate posts and local MPLS/STP."
did:plc:3tc6oztzbwsh2s24ojtuwpmu,3lsccz366xc2w,1750707020877733,2025-06-23T19:30:20.877733+00:00,en,I really want to update my banner and my profile pic! I really want to start caring about my toyhouse account. I really want to make a new website. I really want to make a tetris skin. There is so much I want to do right now. I also want to bake some vegan blueberry pancakes.
did:plc:zhfllle26yeddbpyz6ao6bmh,3lscczrioac2r,1750707045756745,2025-06-23T19:30:45.756745+00:00,en,"So were the non-profit employees themselves plant-based, or were they employees of plant-based nonprofits? If only they would tell us.  www.nytimes.com/2025/06/20/s..."
did:plc:dp34thae2gpiu4e5rxph22hs,3lscdnapk4c27,1750707699054287,2025-06-23T19:41:39.054287+00:00,en,"🌱 The plant-based industry continues to evolve—and 2024 proved that, despite challenges, progress is happening. Here are 3 reasons for optimism from our recent 2024 State of the Industry webinar 🧵"
did:plc:7vs7fbkam6azcbffwietmmgx,3lscdsf2edk2d,1750707872058721,2025-06-23T19:44:32.058721+00:00,en,"blink-182 add Drug Church, Scowl, End It & more openers to 2025 tour www.brooklynvegan.com/blink-182-ad..."
did:plc:oxkq25pb6uzaxczh53tcb663,3lsce7pmwp227,1750708322469216,2025-06-23T19:52:02.469216+00:00,en,"Today on cooking with CJ, It's hot out so I opted for a fully loaded salad with some vegan potato salad (I did the potatoes early this morning before it got hot). Salad topped with corn salsa, kidney beans, herb seasoned tofu, and plant-powered hidden Valley ranch!  #vegancooking #veganfood"
did:plc:q52lwm46jjzqrw225hwaofyn,3lsceei5ncs2p,1750708487383346,2025-06-23T19:54:47.383346+00:00,en,"Mushroom & vegan protein pancake with semi-sweet chocolate fudge, drizzle. Don't hate..."
did:plc:xmk6njmshhvyr366yn4vj35u,3lscehs54ns27,1750708592572735,2025-06-23T19:56:32.572735+00:00,en,"Tried these Simply date bars 🍫 as an out-of-town-treat.  Even though I could make something like this homemade, it was nice to have a treat already made with clean ingredients.  Very delicious! 🍫 #Vegan #VeganTreats #VeganFood #Dates #Chocolate #PlantBased #Yummy 🍫"
did:plc:7vs7fbkam6azcbffwietmmgx,3lsceiwakc22c,1750708628981518,2025-06-23T19:57:08.981518+00:00,en,Geese announce fall tour (BrooklynVegan presale for NYC show) www.brooklynvegan.com/geese-announ...
did:plc:oxkq25pb6uzaxczh53tcb663,3lscencb3ak27,1750708781373044,2025-06-23T19:59:41.373044+00:00,en,My snack box arrived from my mom and aunt today 😀  It's kind of groovy cuz these are snacks that I can't find in stores up here. Nice little sampler so I know what I can order from here on out.  #veganfood #vegansnacks
